iter	RMSE
0	1193.942774
1	1165.260466
2	1138.089348
3	1112.070768
4	1085.466268
5	1062.418439
6	1040.832194
7	1020.631005
8	998.9856212
9	979.5197366
10	961.4244982
11	943.684537
12	923.8763707
13	907.9152679
14	896.5082365
15	884.0019576
16	869.7988462
17	857.2329274
18	846.7188283
19	834.1836585
20	822.981305
21	813.3009764
22	804.2509423
23	795.8532258
24	785.8503498
25	777.1789905
26	768.7182806
27	761.6175064
28	755.6232213
29	746.6726427
30	740.4081715
31	733.8966992
32	728.4886428
33	723.5321563
34	718.4177951
35	712.2804721
36	706.7093737
37	703.7460143
38	698.7949853
39	694.3011502
40	689.7090259
41	686.5616965
42	682.7912949
43	678.7732247
44	674.9100951
45	670.4684078
46	665.8684801
47	664.2331364
48	660.4586013
49	657.1572348
50	654.3481729
51	652.257957
52	649.548451
53	647.0150169
54	645.4011031
55	642.9232393
56	640.4877484
57	637.8083286
58	634.867735
59	631.3713526
60	629.2676709
61	626.8508508
62	624.558475
63	622.5799586
64	620.444726
65	618.3911391
66	616.1561365
67	613.8991934
68	613.2166275
69	612.0209223
70	609.7519356
71	608.0050812
72	606.4649157
73	605.4865591
74	604.0354992
75	602.4235689
76	601.1618383
77	599.7870175
78	597.7363425
79	596.0845403
80	594.870481
81	593.2389327
82	591.5409292
83	590.0745827
84	588.5337254
85	587.2381391
86	586.1233173
87	584.2589754
88	582.766467
89	581.5841417
90	580.2939898
91	578.820501
92	577.9290917
93	576.6421318
94	574.9766385
95	573.4922518
96	572.1962
97	571.791289
98	569.9103864
99	568.889107
100	567.5290187
101	566.3904373
102	565.6593496
103	565.1091554
104	564.0538067
105	562.7372488
106	562.0335756
107	561.330966
108	559.6501048
109	558.775075
110	557.8237372
111	556.9247859
112	556.0331477
113	554.6458043
114	553.5177938
115	553.2295464
116	551.7681143
117	551.092354
118	550.181019
119	549.6789609
120	548.9400748
121	547.45766
122	547.1610051
123	545.9990242
124	545.6279784
125	545.2638878
126	544.230017
127	543.4229894
128	542.5449248
129	541.7330914
130	541.2190962
131	540.1151291
132	539.1337362
133	538.4161689
134	537.3866302
135	536.4454738
136	535.6145003
137	534.3749884
138	533.3843166
139	532.7731248
140	532.0442741
141	531.3797759
142	531.124091
143	530.376996
144	529.9919943
145	529.156246
146	527.8246219
147	526.7921549
148	526.0716504
149	525.0499118
150	523.848664
151	522.8329904
152	521.8701098
153	521.2893267
154	520.1813201
155	519.3146372
156	518.4792497
157	517.6226475
158	517.4368467
159	516.5860503
160	515.7436691
161	515.2937264
162	514.6302778
163	513.6767288
164	513.3454616
165	512.0838115
166	511.2908371
167	510.6369814
168	510.1690348
169	508.9437668
170	508.6043059
171	508.077667
172	506.883865
173	505.9669753
174	505.0417468
175	504.7293231
176	503.9224317
177	503.1078244
178	502.3247701
179	501.1140232
180	499.9232098
181	499.0761047
182	498.1015536
183	497.5926047
184	497.2332389
185	496.0553993
186	495.2789143
187	494.5713752
188	493.5735479
189	493.1244063
190	492.4626609
191	492.0523593
192	491.6847672
193	491.020995
194	490.3789178
195	489.4891856
196	488.4419256
197	487.2112433
198	485.9570575
199	484.8799773
200	484.4304268
201	483.5615467
202	483.0796521
203	482.6495608
204	482.2252753
205	481.5654032
206	481.0000483
207	480.5827636
208	480.2420578
209	479.1007387
210	478.2655123
211	477.9179857
212	477.0187065
213	476.7303049
214	475.84509
215	475.4670486
216	474.3601084
217	473.9333229
218	473.4487058
219	473.0131636
220	472.0944969
221	471.6553711
222	471.2518462
223	470.5431742
224	469.7173229
225	468.8951541
226	468.5146574
227	468.2070798
228	466.9295762
229	466.6589698
230	466.0287911
231	464.8643866
232	463.9121339
233	463.5847901
234	462.6209887
235	461.5930947
236	461.1774383
237	460.7675403
238	460.5055427
239	459.8792911
240	459.153768
241	458.8576041
242	458.5044656
243	457.5639683
244	457.1944259
245	456.9408946
246	456.1422989
247	455.7869424
248	454.8719153
249	454.5333305
250	453.8320402
251	453.2765847
252	452.4957649
253	451.6996804
254	451.2975535
255	450.3503242
256	450.0742407
257	449.805278
258	449.4597321
259	448.7607679
260	448.4637723
261	447.6205035
262	446.9147127
263	446.1359212
264	445.2561027
265	444.5919594
266	444.3501636
267	443.9980565
268	443.321388
269	443.0834154
270	442.4333976
271	442.0793013
272	441.4927112
273	440.7097842
274	440.1498108
275	439.9151436
276	439.6841772
277	439.3321363
278	439.0856936
279	438.378616
280	437.9333425
281	437.7089234
282	437.2698178
283	436.7010266
284	436.4811348
285	435.8163975
286	435.5981816
287	434.9103462
288	434.0795214
289	433.4818885
290	433.2669753
291	432.515951
292	431.9620123
293	431.3309772
294	430.6134889
295	429.9369095
296	429.7224461
297	428.7563794
298	428.5215247
299	428.1726046
300	427.9430542
301	427.4381912
302	427.0757279
303	426.8497463
304	426.2463121
305	426.0247279
306	425.8068486
307	425.5933797
308	425.3837984
309	425.1773523
310	424.6134223
311	424.4108827
312	424.1050666
313	423.9070932
314	423.7124566
315	423.2124919
316	423.0206516
317	422.7238911
318	422.5361152
319	422.3515401
320	422.1695053
321	421.9906072
322	421.8141466
323	421.2153062
324	420.6560691
325	420.4816103
326	420.1788498
327	420.0077082
328	419.8392881
329	419.5226016
330	418.9206601
331	418.7553348
332	418.309813
333	417.759183
334	417.4604042
335	416.8330954
336	416.6690731
337	415.9948103
338	415.8327818
339	415.2914238
340	415.132271
341	414.7000461
342	414.0895713
343	413.5192646
344	412.9550865
345	412.5221859
346	412.0224854
347	411.5210272
348	410.8791034
349	410.4878279
350	409.9409424
351	409.4479509
352	409.1293755
353	408.6992891
354	408.2954875
355	407.6815096
356	407.5200573
357	407.0381154
358	406.5928516
359	406.2818978
360	405.7377167
361	405.57843
362	405.1658737
363	404.5526248
364	403.7154406
365	403.2970955
366	402.8993494
367	402.606206
368	401.8801334
369	401.4049064
370	401.0488511
371	400.6730312
372	400.3858686
373	399.7999898
374	399.082729
375	398.5587099
376	398.0553837
377	397.8914001
378	397.6180623
379	397.4567661
380	397.0202212
381	396.8653202
382	396.5991844
383	396.2624759
384	395.8147509
385	395.2746759
386	394.7214433
387	394.5639561
388	394.0946522
389	393.8628344
390	393.3937815
391	392.9805712
392	392.4625356
393	392.307335
394	391.9643781
395	391.5794068
396	391.0807429
397	390.9272085
398	390.5648788
399	390.3184924
400	390.1672423
401	389.5847304
402	389.0984032
403	388.6256072
404	388.2955509
405	388.1456886
406	387.7290539
407	387.4889386
408	387.3411006
409	386.9639595
410	386.6033924
411	386.1957577
412	386.0498799
413	385.6442935
414	385.198608
415	384.8854563
416	384.5355594
417	384.2722694
418	383.8153279
419	383.4892693
420	383.3444499
421	383.2024765
422	382.5158544
423	382.1660174
424	381.7559607
425	381.434096
426	381.2932
427	381.0617301
428	380.9230999
429	380.7866234
430	380.5068422
431	380.0834711
432	379.9471571
433	379.7227258
434	379.2065907
435	378.8661412
436	378.5326879
437	378.3982031
438	378.0611874
439	377.928396
440	377.6480142
441	377.2978472
442	377.1665623
443	376.6302904
444	376.2917081
445	375.9061237
446	375.6880715
447	375.5582845
448	375.4185092
449	375.2811209
450	375.1455896
451	375.0153414
452	374.652867
453	374.368478
454	374.236564
455	374.1066201
456	373.716527
457	373.5883273
458	373.3373201
459	372.9968595
460	372.8727072
461	372.4700762
462	372.3478875
463	372.2243834
464	372.0644062
465	371.9428933
466	371.5353901
467	371.4152311
468	371.296936
469	371.0346456
470	370.9179246
471	370.8029757
472	370.691438
473	370.579368
474	370.4026553
475	370.066197
476	369.9581657
477	369.6874222
478	369.5255782
479	369.2322381
480	368.947967
481	368.6996467
482	368.5930596
483	368.4880443
484	368.3819024
485	367.8853825
486	367.7802819
487	367.5176962
488	367.2909149
489	367.1873206
490	367.0849928
491	366.9858404
492	366.6641757
493	366.356753
494	366.2587344
495	365.9152202
496	365.6458283
497	365.3160218
498	364.9782797
499	364.7130635
500	364.3539382
501	364.105948
502	364.0084372
503	363.7757633
504	363.5163934
505	363.3209726
506	363.2221655
507	362.9730736
508	362.5895425
509	362.3622241
510	362.201877
511	361.7718702
512	361.5755794
513	361.2395665
514	360.9578161
515	360.7886242
516	360.5127218
517	360.2807368
518	360.0859796
519	359.7210999
520	359.3640702
521	359.0873126
522	358.7986978
523	358.4664628
524	358.1550857
525	357.9092222
526	357.8095319
527	357.3610724
528	357.2635388
529	357.1022142
530	356.7569995
531	356.660275
532	356.3679992
533	356.168326
534	355.982053
535	355.6457335
536	355.4852444
537	355.2625803
538	355.048941
539	354.7368561
540	354.5791755
541	354.363373
542	353.9547826
543	353.7900204
544	353.6873972
545	353.1792594
546	352.8986303
547	352.6522588
548	352.4282273
549	352.3328599
550	352.1714656
551	351.8477316
552	351.5015135
553	351.4090231
554	351.1955222
555	350.9757318
556	350.7272164
557	350.5222077
558	350.2749494
559	350.1764402
560	349.851822
561	349.6058277
562	349.5061723
563	349.3610463
564	349.2646908
565	349.128022
566	348.9446311
567	348.8476152
568	348.5858659
569	348.3666046
570	348.2782833
571	348.0725972
572	347.5968255
573	347.3500861
574	347.1201082
575	346.7716299
576	346.6292819
577	346.3382133
578	346.2442171
579	345.9041029
580	345.7252846
581	345.5390369
582	345.3706429
583	345.0802517
584	344.9868488
585	344.4639201
586	344.2521241
587	344.1109025
588	344.0163969
589	343.7285742
590	343.1099257
591	343.0155931
592	342.7927548
593	342.699907
594	342.519504
595	342.1878528
596	342.0974841
597	341.8574977
598	341.3524678
599	341.222303
600	341.0593118
601	340.7368689
602	340.5450226
603	340.2421743
604	339.8402496
605	339.7094055
606	339.482365
607	339.2730151
608	339.0816203
609	338.9892217
610	338.6494914
611	338.3895838
612	338.2006747
613	337.9537395
614	337.8028953
615	337.7177326
616	337.4399987
617	337.3505878
618	337.2690582
619	337.0815719
620	336.991974
621	336.903466
622	336.7781008
623	336.6567562
624	336.4629083
625	336.3155419
626	336.2294301
627	335.861077
628	335.6394504
629	335.48801
630	335.1038982
631	334.6765896
632	334.4497434
633	334.3626229
634	334.0630034
635	333.7991046
636	333.4589369
637	332.9335212
638	332.7696837
639	332.6861188
640	332.5954197
641	332.2341751
642	331.9838968
643	331.7549658
644	331.2902311
645	331.2064388
646	331.0449098
647	330.8427036
648	330.6421854
649	330.5593498
650	330.3607078
651	330.1284064
652	330.0108441
653	329.9208449
654	329.7731286
655	329.3481004
656	329.266365
657	329.1814052
658	329.1011584
659	328.7137521
660	328.6291025
661	328.4441042
662	328.1965157
663	327.9015208
664	327.8161143
665	327.7348846
666	327.5882764
667	327.5048452
668	327.2452072
669	327.1627889
670	327.0402995
671	326.5799769
672	326.3766287
673	326.2094832
674	326.1300728
675	326.0530483
676	325.7708618
677	325.6917877
678	325.4523979
679	325.2128048
680	325.1345863
681	325.0576409
682	324.9830333
683	324.9145893
684	324.5644983
685	324.4454172
686	324.3725418
687	324.3004377
688	324.1767536
689	324.0706846
690	324.0019014
691	323.8997966
692	323.7230676
693	323.3798103
694	323.174113
695	322.8970994
696	322.7320117
697	322.5559628
698	322.4218571
699	322.2023807
700	321.9852142
701	321.9154532
702	321.7946673
703	321.6418981
704	321.5691236
705	321.1369163
706	321.0673613
707	320.7691025
708	320.6241283
709	320.4401156
710	320.2572143
711	319.9043753
712	319.6742455
713	319.5018653
714	319.3609612
715	319.2639258
716	319.0640169
717	318.9543587
718	318.8495795
719	318.6698919
720	318.3345062
721	318.2648371
722	318.1961628
723	318.0933394
724	318.0239914
725	317.7993113
726	317.6674668
727	317.2889348
728	317.1223095
729	317.0549682
730	316.9523861
731	316.8515806
732	316.6747683
733	316.2970917
734	316.1832827
735	315.9313217
736	315.735047
737	315.5459078
738	315.4778968
739	315.3090333
740	314.9957227
741	314.9261419
742	314.7476552
743	314.5418003
744	314.4763716
745	314.2781305
746	314.1370896
747	313.8069242
748	313.6073709
749	313.4960003
750	313.3352121
751	313.2672521
752	312.9476648
753	312.7947183
754	312.730394
755	312.4589005
756	312.311712
757	312.1046998
758	312.0130619
759	311.8947159
760	311.7036608
761	311.5612557
762	311.4473464
763	311.3010955
764	311.2081509
765	311.0237399
766	310.8181564
767	310.6820653
768	310.6177017
769	310.3924962
770	310.3281244
771	310.1712811
772	309.891178
773	309.8037392
774	309.6665399
775	309.5393912
776	309.473252
777	309.3340643
778	309.0627415
779	308.7082356
