iter	Passed	Remaining
0	0	803
1	1	751
2	2	719
3	2	672
4	3	650
5	3	625
6	4	652
7	5	647
8	5	634
9	6	634
10	7	691
11	8	681
12	8	674
13	9	662
14	10	667
15	10	672
16	11	674
17	12	682
18	13	712
19	14	719
20	15	725
21	16	731
22	17	733
23	18	743
24	19	748
25	20	754
26	20	755
27	21	752
28	22	754
29	23	751
30	23	746
31	24	745
32	25	743
33	26	748
34	27	745
35	27	745
36	28	743
37	29	740
38	30	743
39	30	737
40	31	733
41	32	734
42	33	734
43	33	734
44	34	734
45	35	736
46	36	737
47	37	750
48	38	750
49	39	748
50	40	747
51	41	749
52	42	754
53	42	752
54	43	749
55	44	748
56	45	747
57	46	747
58	46	743
59	47	744
60	48	743
61	49	754
62	50	753
63	51	750
64	52	753
65	53	752
66	54	752
67	54	753
68	55	753
69	56	750
70	57	753
71	58	752
72	59	752
73	60	751
74	60	748
75	61	751
76	62	751
77	63	750
78	64	753
79	65	754
80	66	752
81	67	751
82	68	752
83	69	753
84	69	751
85	70	750
86	71	750
87	72	749
88	73	749
89	73	747
90	74	743
91	75	741
92	76	745
93	77	749
94	78	748
95	79	747
96	80	744
97	80	742
98	81	741
99	82	741
100	83	741
101	84	740
102	84	738
103	85	735
104	86	733
105	86	730
106	87	727
107	87	725
108	88	721
109	89	721
110	89	719
111	90	719
112	91	717
113	92	716
114	92	715
115	93	714
116	94	714
117	95	713
118	96	711
119	96	708
120	97	707
121	98	705
122	98	703
123	99	701
124	99	699
125	100	696
126	101	695
127	101	693
128	102	693
129	103	693
130	104	690
131	104	689
132	105	688
133	106	687
134	107	688
135	108	686
136	108	685
137	109	685
138	110	684
139	111	683
140	111	681
141	112	680
142	113	679
143	113	677
144	114	675
145	115	674
146	116	674
147	117	673
148	117	671
149	118	670
150	118	668
151	119	667
152	120	668
153	121	667
154	122	665
155	122	664
156	123	663
157	124	661
158	124	659
159	125	658
160	126	658
161	127	657
162	127	655
163	128	654
164	129	654
165	130	653
166	130	653
167	131	651
168	132	650
169	132	648
170	133	647
171	134	646
172	135	645
173	135	645
174	136	644
175	137	643
176	138	642
177	138	641
178	139	640
179	140	640
180	141	639
181	142	638
182	142	637
183	143	637
184	144	636
185	145	636
186	146	635
187	146	633
188	147	632
189	148	632
190	148	630
191	149	630
192	150	629
193	151	628
194	152	627
195	153	627
196	153	626
197	154	624
198	154	623
199	155	622
200	156	622
201	157	621
202	158	620
203	158	619
204	159	618
205	160	617
206	160	616
207	161	615
208	162	614
209	163	613
210	163	612
211	164	610
212	164	608
213	166	609
214	166	608
215	167	607
216	168	606
217	169	606
218	169	605
219	170	605
220	171	604
221	172	603
222	172	601
223	173	601
224	174	601
225	175	602
226	176	602
227	177	601
228	178	601
229	179	600
230	180	599
231	180	598
232	181	597
233	182	596
234	183	596
235	184	595
236	184	594
237	185	594
238	186	594
239	187	592
240	187	591
241	188	589
242	189	589
243	190	589
244	190	588
245	191	587
246	192	586
247	193	585
248	193	584
249	194	583
250	195	583
251	196	582
252	197	582
253	197	581
254	198	580
255	199	579
256	200	578
257	200	577
